playerId,sweaterNumber,name,position,evenStrengthShotsAgainst,powerPlayShotsAgainst,shorthandedShotsAgainst,saveShotsAgainst,savePctg,evenStrengthGoalsAgainst,powerPlayGoalsAgainst,shorthandedGoalsAgainst,pim,goalsAgainst,toi,starter,decision,shotsAgainst,saves,firstName,lastName,Team,gameId,homeRoadFlag
8479973,74,{'default': 'S. Skinner'},G,17/19,2/2,0/0,19/21,0.904762,2,0,0,0,2,60:00,True,W,21,19,Stuart,Skinner,PIT,2025020450,1
8482661,30,{'default': 'J. Wallstedt'},G,16/20,0/0,1/1,17/21,0.809524,4,0,0,2,4,57:05,True,L,21,17,Jesper,Wallstedt,MIN,2025020451,0
8484268,60,{'default': 'N. Tolopilo'},G,27/28,1/2,0/0,28/30,0.933333,1,1,0,0,2,59:32,True,W,30,28,Nikita,Tolopilo,VAN,2025020451,1
8476434,36,{'default': 'J. Gibson'},G,21/24,3/3,0/0,24/27,0.888889,3,0,0,0,3,59:58,True,W,27,24,John,Gibson,DET,2025020452,0
8478916,35,{'default': 'J. Daccord'},G,19/22,2/3,0/0,21/25,0.84,3,1,0,0,4,58:48,True,L,25,21,Joey,Daccord,SEA,2025020452,1
8478406,39,{'default': 'M. Blackwood'},G,23/25,0/0,0/0,23/25,0.92,2,0,0,0,2,60:00,True,W,25,23,Mackenzie,Blackwood,COL,2025020453,0
8481035,33,{'default': 'S. Ersson'},G,21/23,4/5,0/0,25/28,0.892857,2,1,0,0,3,58:09,True,L,28,25,Samuel,Ersson,PHI,2025020453,1
8479496,33,{'default': 'D. Rittich'},G,25/28,1/1,0/0,26/29,0.896552,3,0,0,0,3,59:22,True,L,29,26,David,Rittich,NYI,2025020454,0
8480193,40,{'default': 'D. Tarasov'},G,17/18,2/2,1/1,20/21,0.952381,1,0,0,0,1,60:00,True,W,21,20,Daniil,Tarasov,FLA,2025020454,1
8477968,33,{'default': 'A. Nedeljkovic'},G,24/24,4/5,0/0,28/29,0.965517,0,1,0,0,1,60:00,True,W,29,28,Alex,Nedeljkovic,SJS,2025020455,0
8481611,52,"{'default': 'P. Kochetkov', 'fi': 'P. Kotshetkov'}",G,15/17,4/5,0/0,19/22,0.863636,2,1,0,0,3,59:03,True,L,22,19,Pyotr,Kochetkov,CAR,2025020455,1
8477465,35,{'default': 'T. Jarry'},G,19/21,1/1,1/1,21/23,0.913043,2,0,0,0,2,64:50,True,O,23,21,Tristan,Jarry,EDM,2025020456,0
8479979,29,{'default': 'J. Oettinger'},G,25/27,2/2,0/0,27/29,0.931034,2,0,0,0,2,63:36,True,W,29,27,Jake,Oettinger,DAL,2025020456,1
8476412,50,{'default': 'J. Binnington'},G,21/24,2/2,0/0,23/26,0.884615,3,0,0,0,3,60:00,True,W,26,23,Jordan,Binnington,STL,2025020457,0
8482487,75,{'default': 'J. Dobes'},G,13/16,1/2,0/0,14/18,0.777778,3,1,0,0,4,57:33,True,L,18,14,Jakub,Dobes,MTL,2025020457,1
8479394,79,{'default': 'C. Hart'},G,21/23,0/0,1/1,22/24,0.916667,2,0,0,0,2,64:09,True,W,24,22,Carter,Hart,VGK,2025020458,0
8471734,32,{'default': 'J. Quick'},G,22/25,3/3,0/0,25/28,0.892857,3,0,0,0,3,64:52,True,O,28,25,Jonathan,Quick,NYR,2025020458,1
8482982,73,{'default': 'J. Greaves'},G,21/22,14/14,1/1,36/37,0.972973,1,0,0,0,1,57:20,True,L,37,36,Jet,Greaves,CBJ,2025020459,0
8480313,48,{'default': 'L. Thompson'},G,32/32,5/5,2/2,39/39,1.0,0,0,0,0,0,59:49,True,W,39,39,Logan,Thompson,WSH,2025020459,1
8482821,40,"{'default': 'A. Soderblom', 'cs': 'A. Söderblom', 'fi': 'A. Söderblom', 'sk': 'A. Söderblom', 'sv': 'A. Söderblom'}",G,37/42,9/11,0/0,46/53,0.867925,5,2,0,0,7,60:00,True,L,53,46,Arvid,Soderblom,CHI,2025020460,0
8478024,33,{'default': 'V. Husso'},G,17/17,1/2,1/1,19/20,0.95,0,1,0,0,1,60:00,True,W,20,19,Ville,Husso,ANA,2025020460,1
